Day,Mask: (Worldwide),Quarantine: (Worldwide),Symptom: (Worldwide),Donald Trump: (Worldwide)
2020-01-01,6,0,21,9
2020-01-02,7,0,22,9
2020-01-03,7,0,22,32
2020-01-04,7,0,22,26
2020-01-05,8,0,23,25
2020-01-06,7,0,23,26
2020-01-07,7,0,23,21
2020-01-08,7,0,23,49
2020-01-09,7,0,24,20
2020-01-10,7,0,22,15
2020-01-11,8,0,22,12
2020-01-12,9,0,23,11
2020-01-13,8,0,23,10
2020-01-14,8,0,24,12
2020-01-15,7,0,24,13
2020-01-16,7,0,24,14
2020-01-17,7,0,22,13
2020-01-18,8,0,22,11
2020-01-19,8,0,22,10
2020-01-20,8,0,24,9
2020-01-21,8,0,25,13
2020-01-22,9,0,28,14
2020-01-23,9,1,29,13
2020-01-24,10,1,31,13
2020-01-25,13,1,34,13
2020-01-26,15,1,35,12
2020-01-27,15,1,37,13
2020-01-28,18,1,41,15
2020-01-29,18,2,39,14
2020-01-30,20,2,42,13
2020-01-31,21,2,41,15
2020-02-01,18,2,35,15
2020-02-02,16,2,33,12
2020-02-03,15,2,33,18
2020-02-04,14,2,31,15
2020-02-05,14,2,31,37
2020-02-06,13,2,30,25
2020-02-07,13,2,30,16
2020-02-08,13,2,29,14
2020-02-09,13,2,29,12
2020-02-10,12,2,29,11
2020-02-11,12,2,29,12
2020-02-12,11,2,29,13
2020-02-13,11,2,27,11
2020-02-14,10,1,26,11
2020-02-15,11,1,26,10
2020-02-16,11,1,27,12
2020-02-17,11,2,29,10
2020-02-18,10,1,28,11
2020-02-19,10,1,28,12
2020-02-20,11,1,28,13
2020-02-21,11,2,29,13
2020-02-22,12,2,31,11
2020-02-23,13,3,34,12
2020-02-24,15,3,37,21
2020-02-25,19,3,41,17
2020-02-26,26,3,46,14
2020-02-27,26,3,46,12
2020-02-28,23,3,45,11
2020-02-29,20,3,43,12
2020-03-01,17,2,42,11
2020-03-02,19,3,49,11
2020-03-03,20,3,49,11
2020-03-04,20,4,49,15
2020-03-05,19,4,50,12
2020-03-06,17,4,48,11
2020-03-07,15,4,47,10
2020-03-08,15,6,49,10
2020-03-09,15,7,59,13
2020-03-10,16,9,64,14
2020-03-11,21,15,71,15
2020-03-12,23,17,98,35
2020-03-13,24,21,100,43
2020-03-14,25,21,90,29
