date,lat,long,confirmed,recovered,dead,mask,quarantine,symptom,trump
2020-01-22,1238.1826,4052.0895000000005,0.3555435973324621,0.03855474774179335,0.29214641691012205,9,0,28,14
2020-01-23,1250.4330000000002,4415.1633,0.4183242685731491,0.04130865829477859,0.3093315002577763,9,1,29,13
2020-01-24,1280.352913,4079.3368000000005,0.6028225677294538,0.0495703899537343,0.44681216703901017,10,1,31,13
2020-01-25,1278.9914,4430.557400000001,0.9212102575929378,0.05370125578321216,0.7217735006014779,13,1,34,13
2020-01-26,1400.0912,4114.121400000001,1.3568312417119905,0.07160167437761622,0.9623646674686372,15,1,35,12
2020-01-27,1388.3675999999998,4456.787400000001,1.8750920889948046,0.08399427186604978,1.4091768345076474,15,1,37,13
2020-01-28,1481.1103,4337.126700000001,3.5733733079648173,0.1473342145847103,2.251245918542705,18,1,41,15
2020-01-29,1569.1103,4417.126700000001,3.9494167163146465,0.17349636483807004,2.2856160852380136,18,2,39,14
2020-01-30,1606.7863,4858.6191,5.275498241500586,0.19690460453844458,2.9386492524488745,20,2,42,13
2020-01-31,1827.7863000000002,4973.6191,6.358144510855291,0.30568407138136156,3.6604227530503524,21,2,41,15
2020-02-01,1945.7255000000002,4798.796399999999,7.711772657095818,0.3910552985239039,4.450936587042447,18,2,35,15
2020-02-02,1945.7255000000002,4798.796399999999,10.754072735891967,0.6499228905045165,6.221000171850834,16,2,33,12
2020-02-03,1982.3016000000002,4677.808799999999,12.736148213633655,0.8578431372549019,7.320845506100705,15,2,33,18
2020-02-04,2068.5192,4606.503499999999,15.305671400841774,1.173165895571712,8.455061007045884,14,2,31,15
2020-02-05,2111.5923000000003,4517.102299999999,17.704149289873733,1.5476977307777042,9.69238700807699,14,2,31,37
2020-02-06,2111.5923000000003,4517.102299999999,19.742599247913184,2.0475324961445254,10.895342842412786,13,2,30,25
2020-02-07,2147.036,4656.7402999999995,22.03217189091538,2.7690570610266576,12.356074926963396,13,2,30,16
2020-02-08,2147.0360000000005,4656.7402999999995,23.780421399240225,3.6021150033046925,13.851177178209316,13,2,29,14
2020-02-09,2147.036,4656.7402999999995,25.72149725494718,4.466842916942058,15.569685512974738,13,2,29,12
2020-02-10,2147.0360000000005,4656.7402999999995,27.394794329239776,5.433465521039876,17.40848943117374,12,2,29,11
2020-02-11,2179.7517000000007,4539.579199999999,28.701657281596937,6.448281559814937,19.126997765939166,12,2,29,12
2020-02-12,2179.7517000000007,4539.579199999999,28.970076682105585,7.09131967393699,19.212923182677436,11,2,29,13
2020-02-13,2209.1758000000004,4441.0856,38.674174722451774,8.66793346552104,23.56074926963396,11,2,27,11
2020-02-14,2235.1758000000004,4471.0856,42.84908935995746,11.095505617977528,26.172881938477403,10,1,26,11
2020-02-15,2235.1758000000004,4471.0856,44.22321731721536,12.93649482264816,28.630348857191958,11,1,26,10
2020-02-16,2235.1758,4471.0856,45.62873561009359,14.96061907909231,30.417597525348,11,1,27,12
2020-02-17,2235.1758,4471.0856,46.931754847884996,17.32622824410663,32.101735693418114,11,2,29,10
2020-02-18,2235.1758000000004,4471.0856,48.13483750696673,19.762062128222077,34.49046227874205,10,1,28,11
2020-02-19,2267.1758000000004,4524.0856,48.45706891139597,22.19789601233752,36.46674686372229,10,1,28,12
2020-02-20,2267.1758000000004,4524.0856,48.814534366011316,25.028916060806345,38.61488228217907,11,1,28,13
2020-02-21,2566.664339,4298.5194,49.227093062735825,26.010685172945582,38.68362261556969,11,2,29,13
2020-02-22,2560.0471000000002,4277.4711,50.35202019231385,31.51299845781009,42.24093486853411,12,2,31,11
2020-02-23,2593.0471000000002,4321.4711,50.59929916271084,32.21249173826834,42.42997078535831,13,3,34,12
2020-02-24,2738.0183,4681.409099999999,50.97406133287209,34.736450760079315,45.17958412098299,15,3,37,21
2020-02-25,2905.5533000000005,4721.3463,51.51538446754944,38.42393699052655,46.537205705447676,19,3,41,17
2020-02-26,3146.720100000001,4754.523499999999,52.14447241814489,41.837409120951754,47.602680873002235,26,3,46,14
2020-02-27,3357.6543000000006,4806.787999999999,53.015073767288705,45.8209407358449,48.358824540299025,26,3,46,12
2020-02-28,3622.9674,4854.088199999999,53.89144068828116,50.54940515532056,49.35555937446297,23,3,45,11
2020-02-29,3801.8121999999994,4775.9877,55.10157015740011,54.778034809429386,50.54133012545111,20,3,43,12
2020-03-01,4019.3770000000004,4663.981599999999,56.612149981742355,58.81802159065874,51.4865097095721,17,2,42,11
2020-03-02,4486.965500000002,4169.966499999999,57.85366978648165,62.79191451861644,53.01598212751332,19,3,49,11
2020-03-03,4716.726800000004,3559.749799999998,59.47763919051371,66.40917602996255,54.30486337858739,20,3,49,11
2020-03-04,5038.272100000001,3550.7932999999985,60.93825072550112,70.46017845340383,55.92026121326688,20,4,49,15
2020-03-05,5458.470399999999,2771.910899999997,62.70764066393763,74.07606300947346,57.53565904794638,19,4,50,12
2020-03-06,6335.1254,1113.350099999998,65.21502379899935,76.92498347653668,59.46038838288366,17,4,48,11
2020-03-07,7265.5489,-1374.2579,67.80056246356479,80.35773298083278,61.14452655095378,15,4,47,10
2020-03-08,8358.374199999998,-3336.0267999999987,70.3623982216414,83.57430050671954,65.35487197112906,15,6,49,10
2020-03-09,8691.123199999998,-3953.5203,72.76279796795623,86.07622824410663,68.67159305722633,15,7,59,13
