country,lat,long,confirmed,recovered,dead,mask,quarantine,symptom,trump,normalized confirmed
Afghanistan,33.9391,67.71,16.0,0.0,0.0,0.22,0.02,0.44,0.32,0.0197523548510549
Albania,41.1533,20.1683,42.0,0.0,1.0,0.43,0.05,0.37,0.15,0.05184993148401911
Algeria,28.0339,1.6596,48.0,12.0,4.0,0.12,0.01,0.82,0.05,0.0592570645531647
Andorra,42.5063,1.5218,1.0,1.0,0.0,0.13,0.05,0.74,0.08,0.0012345221781909312
Argentina,-38.4161,-63.6167,45.0,1.0,2.0,0.08,0.06,0.79,0.07,0.055553498018591906
Armenia,40.0691,45.0382,26.0,0.0,0.0,0.43,0.04,0.41,0.12,0.03209757663296421
Aruba,12.5211,-69.9683,2.0,0.0,0.0,0.15,0.04,0.49,0.32,0.0024690443563818625
Australia,-220.5258,1269.5002999999997,297.0,23.0,3.0,0.26,0.02,0.48,0.24,0.3666530869227066
Austria,47.5162,14.5501,860.0,6.0,1.0,0.16,0.09,0.6,0.15,1.0616890732442008
Azerbaijan,40.1431,47.5769,23.0,6.0,1.0,0.34,0.05,0.52,0.09,0.028394010098391417
Bahrain,26.0667,50.5577,214.0,60.0,0.0,0.27,0.03,0.57,0.13,0.2641877461328593
Bangladesh,23.685,90.3563,5.0,0.0,0.0,0.31,0.03,0.54,0.12,0.006172610890954656
Belarus,53.7098,27.9534,27.0,3.0,0.0,0.42,0.05,0.48,0.05,0.03333209881115514
Belgium,50.5039,4.4699,886.0,1.0,4.0,0.18,0.04,0.63,0.15,1.0937866498771651
Bhutan,27.5142,90.4336,1.0,0.0,0.0,0.19,0.06,0.61,0.14,0.0012345221781909312
Bolivia,-16.2902,-63.5887,10.0,0.0,0.0,0.1,0.03,0.81,0.06,0.012345221781909312
Brazil,-14.235,-51.9253,162.0,0.0,0.0,0.17,0.01,0.75,0.07,0.19999259286693086
Brunei,4.5353,114.7277,50.0,0.0,0.0,0.45,0.04,0.4,0.11,0.061726108909546565
Bulgaria,42.7339,25.4858,51.0,0.0,2.0,0.44,0.04,0.45,0.07,0.06296063108773749
Burkina Faso,12.2383,-1.5616,3.0,0.0,0.0,0.12,0.02,0.58,0.28,0.0037035665345727937
Cambodia,12.5657,104.991,7.0,1.0,0.0,0.43,0.03,0.4,0.14,0.00864165524733652
Cameroon,3.848,11.5021,2.0,0.0,0.0,0.14,0.01,0.67,0.18,0.0024690443563818625
Canada,464.76599999999996,-795.9003,250.0,8.0,1.0,0.15,0.02,0.4,0.43,0.3086305445477328
Cayman Islands,19.3133,-81.2546,1.0,0.0,0.0,0.14,0.05,0.43,0.38,0.0012345221781909312
Central African Republic,6.6111,20.9394,1.0,0.0,0.0,0.0,0.11,0.61,0.28,0.0012345221781909312
Chile,-35.6751,-71.543,74.0,0.0,0.0,0.11,0.03,0.78,0.08,0.09135464118612892
China,1080.0817,3685.5800000000004,81003.0,67017.0,3203.0,0.3,0.11,0.33,0.26,100.0
Colombia,4.5709,-74.2973,34.0,0.0,0.0,0.09,0.03,0.79,0.09,0.041973754058491665
Costa Rica,9.7489,-83.7534,27.0,0.0,0.0,0.08,0.02,0.76,0.14,0.03333209881115514
Croatia,45.1,15.2,49.0,1.0,0.0,0.28,0.04,0.61,0.07,0.06049158673135563
Cuba,21.5218,-77.7812,4.0,0.0,0.0,0.04,0.01,0.56,0.39,0.004938088712763725
Cyprus,35.1264,33.4299,26.0,0.0,0.0,0.28,0.06,0.54,0.12,0.03209757663296421
Denmark,118.1565,2.589999999999999,875.0,1.0,2.0,0.18,0.06,0.58,0.18,1.080206905917065
Dominican Republic,18.7357,-70.1627,11.0,0.0,0.0,0.08,0.03,0.73,0.16,0.013579743960100244
Ecuador,-1.8312,-78.1834,28.0,0.0,2.0,0.1,0.04,0.78,0.08,0.03456662098934608
Egypt,26.8206,30.8025,110.0,21.0,2.0,0.13,0.01,0.81,0.05,0.13579743960100243
Equatorial Guinea,1.5,10.0,1.0,0.0,0.0,0.08,0.05,0.67,0.2,0.0012345221781909312
